Date,Time,Distance (cm),Motor Speed (%),Proximity Limits (cm)
2022-10-21,11:41:11,2.5,0,"5, 10, 15, 20"
2022-10-21,11:40:41,21.59,100,"5, 10, 15, 20"
2022-10-21,11:40:11,22.01,100,"5, 10, 15, 20"
2022-10-21,11:39:41,22.01,100,"5, 10, 15, 20"
2022-10-21,11:39:11,21.59,100,"5, 10, 15, 20"
2022-10-21,11:38:41,21.59,100,"5, 10, 15, 20"
2022-10-21,11:38:11,21.6,100,"5, 10, 15, 20"
2022-10-21,11:37:41,17.56,75,"5, 10, 15, 20"
2022-10-21,11:37:11,17.56,75,"5, 10, 15, 20"
2022-10-21,11:36:41,17.78,75,"5, 10, 15, 20"
2022-10-21,11:36:11,17.55,75,"5, 10, 15, 20"
2022-10-21,11:35:41,10.51,50,"5, 10, 15, 20"
2022-10-21,11:35:11,6.35,25,"5, 10, 15, 20"
2022-10-21,11:34:41,6.35,25,"5, 10, 15, 20"
2022-10-21,11:34:11,6.34,25,"5, 10, 15, 20"
2022-10-21,11:33:41,6.35,25,"5, 10, 15, 20"
2022-10-21,11:33:11,11.39,50,"5, 10, 15, 20"
2022-10-21,11:32:41,11.41,50,"5, 10, 15, 20"
2022-10-21,11:32:11,11.42,50,"5, 10, 15, 20"
2022-10-21,11:31:41,10.91,50,"5, 10, 15, 20"
2022-10-21,11:31:11,11.41,50,"5, 10, 15, 20"
2022-10-21,11:30:41,20.33,100,"5, 10, 15, 20"
2022-10-21,11:30:11,20.26,100,"5, 10, 15, 20"
2022-10-21,11:29:41,20.32,100,"5, 10, 15, 20"
2022-10-21,11:29:11,16.67,75,"5, 10, 15, 20"
2022-10-21,11:28:41,17.24,75,"5, 10, 15, 20"
2022-10-21,11:28:11,17.25,75,"5, 10, 15, 20"
2022-10-21,11:27:41,6.54,25,"5, 10, 15, 20"
2022-10-21,11:27:11,6.54,25,"5, 10, 15, 20"
2022-10-21,11:26:41,6.52,25,"5, 10, 15, 20"
2022-10-21,11:26:11,10.32,50,"5, 10, 15, 20"
2022-10-21,11:25:41,2.14,0,"5, 10, 15, 20"